test file is  ./DSJC1000.1.col.txt
begin to make graph
vertex num 1000
edge num 49629
init graph data structure finished !
initialization over, begin tabu search
iter 10000 conflict 42
iter 20000 conflict 26
iter 30000 conflict 24
iter 40000 conflict 34
iter 50000 conflict 36
iter 60000 conflict 32
iter 70000 conflict 18
iter 80000 conflict 10
iter 90000 conflict 10
iter 100000 conflict 4
iter 110000 conflict 4
iter 120000 conflict 6
iter 130000 conflict 8
iter 140000 conflict 8
iter 150000 conflict 6
iter 160000 conflict 2
iter 170000 conflict 6
iter 180000 conflict 4
iter 190000 conflict 6
iter 200000 conflict 8
iter 210000 conflict 6
iter 220000 conflict 10
iter 230000 conflict 6
iter 240000 conflict 8
iter 250000 conflict 10
iter 260000 conflict 10
iter 270000 conflict 8
iter 280000 conflict 10
iter 290000 conflict 12
iter 300000 conflict 12
iter 310000 conflict 12
iter 320000 conflict 12
iter 330000 conflict 12
iter 340000 conflict 10
iter 350000 conflict 10
iter 360000 conflict 14
iter 370000 conflict 10
iter 380000 conflict 6
iter 390000 conflict 12
iter 400000 conflict 8
iter 410000 conflict 10
iter 420000 conflict 6
iter 430000 conflict 12
iter 440000 conflict 8
iter 450000 conflict 12
iter 460000 conflict 10
iter 470000 conflict 8
iter 480000 conflict 12
iter 490000 conflict 12
iter 500000 conflict 10
iter 510000 conflict 8
iter 520000 conflict 8
iter 530000 conflict 14
iter 540000 conflict 10
iter 550000 conflict 8
iter 560000 conflict 10
iter 570000 conflict 10
iter 580000 conflict 10
iter 590000 conflict 14
iter 600000 conflict 12
iter 610000 conflict 34
iter 620000 conflict 20
iter 630000 conflict 18
iter 640000 conflict 20
iter 650000 conflict 24
iter 660000 conflict 18
iter 670000 conflict 14
iter 680000 conflict 20
iter 690000 conflict 26
iter 700000 conflict 14
iter 710000 conflict 14
iter 720000 conflict 18
iter 730000 conflict 18
iter 740000 conflict 20
iter 750000 conflict 22
iter 760000 conflict 14
iter 770000 conflict 14
iter 780000 conflict 10
iter 790000 conflict 10
iter 800000 conflict 16
iter 810000 conflict 12
iter 820000 conflict 10
iter 830000 conflict 16
iter 840000 conflict 22
iter 850000 conflict 10
iter 860000 conflict 10
iter 870000 conflict 14
iter 880000 conflict 10
iter 890000 conflict 10
iter 900000 conflict 12
iter 910000 conflict 10
iter 920000 conflict 10
iter 930000 conflict 16
iter 940000 conflict 12
iter 950000 conflict 10
iter 960000 conflict 8
iter 970000 conflict 10
iter 980000 conflict 10
iter 990000 conflict 16
iter 1000000 conflict 12
iter 1010000 conflict 14
iter 1020000 conflict 6
iter 1030000 conflict 8
iter 1040000 conflict 8
iter 1050000 conflict 10
iter 1060000 conflict 8
iter 1070000 conflict 12
iter 1080000 conflict 10
iter 1090000 conflict 10
iter 1100000 conflict 10
iter 1110000 conflict 8
